,Label,  Text,
519,ham,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now,Usually the person is unconscious that's in children but in adults they may just behave abnormally. I.ll call you now
520,ham,But that's on ebay it might be less elsewhere.,But that's on ebay it might be less elsewhere.
521,ham,Shall i come to get pickle,Shall i come to get pickle
522,ham,Were gonna go get some tacos,Were gonna go get some tacos
523,ham,"That's very rude, you on campus?","That's very rude, you on campus?"
524,spam,"URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU","URGENT!: Your Mobile No. was awarded a å£2,000 Bonus Caller Prize on 02/09/03! This is our 2nd attempt to contact YOU! Call 0871-872-9755 BOX95QU"
525,ham,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.,Hi i won't b ard 4 christmas. But do enjoy n merry x'mas.
526,spam,"Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X","Today's Offer! Claim ur å£150 worth of discount vouchers! Text YES to 85023 now! SavaMob, member offers mobile! T Cs 08717898035. å£3.00 Sub. 16 . Unsub reply X"
527,ham,Yes! How is a pretty lady like you single?,Yes! How is a pretty lady like you single?
528,spam,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750,You will recieve your tone within the next 24hrs. For Terms and conditions please see Channel U Teletext Pg 750
529,ham,Jay says that you're a double-faggot,Jay says that you're a double-faggot
530,spam,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 ,PRIVATE! Your 2003 Account Statement for 07815296484 shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code 41782 Expires 18/11/04 
531,ham,What Today-sunday..sunday is holiday..so no work..,What Today-sunday..sunday is holiday..so no work..
532,ham,Gudnite....tc...practice going on,Gudnite....tc...practice going on
533,ham,I'll be late...,I'll be late...
534,ham,"I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day.","I've not called you in a while. This is hoping it was l8r malaria and that you know that we miss you guys. I miss Bani big, so pls give her my love especially. Have a great day."
535,ham,"Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea","Good afternoon, my love! How goes that day ? I hope maybe you got some leads on a job. I think of you, boytoy and send you a passionate kiss from across the sea"
536,ham,"Probably gonna be here for a while, see you later tonight &lt;)","Probably gonna be here for a while, see you later tonight &lt;)"
537,ham,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.,Or maybe my fat fingers just press all these buttons and it doesn't know what to do.
538,ham,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear
539,ham,"I am in tirupur da, once you started from office call me.","I am in tirupur da, once you started from office call me."
540,spam,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop,from www.Applausestore.com MonthlySubscription@50p/msg max6/month T&CsC web age16 2stop txt stop
541,ham,"A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'","A famous quote : when you develop the ability to listen to 'anything' unconditionally without losing your temper or self confidence, it means you are ......... 'MARRIED'"
542,ham,But am going to college pa. What to do. are else ill come there it self. Pa.,But am going to college pa. What to do. are else ill come there it self. Pa.
543,ham,4 oclock at mine. Just to bash out a flat plan.,4 oclock at mine. Just to bash out a flat plan.
544,ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed
545,ham,Then any special there?,Then any special there?
546,ham,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin,I know but you need to get hotel now. I just got my invitation but i had to apologise. Cali is to sweet for me to come to some english bloke's weddin
547,ham,"Sorry that took so long, omw now","Sorry that took so long, omw now"
548,ham,Wait  &lt;#&gt;  min..,Wait  &lt;#&gt;  min..
549,ham,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.,Ok give me 5 minutes I think I see her. BTW you're my alibi. You were cutting my hair the whole time.
550,ham,"Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck","Imagine you finally get to sink into that bath after I have put you through your paces, maybe even having you eat me for a while before I left ... But also imagine the feel of that cage on your cock surrounded by the bath water, reminding you always who owns you ... Enjoy, my cuck"
551,ham,"Hurry up, I've been weed-deficient for like three days","Hurry up, I've been weed-deficient for like three days"
552,ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo","Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
553,ham,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know
554,ham,I‰Û÷ll have a look at the frying pan in case it‰Û÷s cheap or a book perhaps. No that‰Û÷s silly a frying pan isn‰Û÷t likely to be a book,I‰Û÷ll have a look at the frying pan in case it‰Û÷s cheap or a book perhaps. No that‰Û÷s silly a frying pan isn‰Û÷t likely to be a book
555,ham,O. Well uv causes mutations. Sunscreen is like essential thesedays,O. Well uv causes mutations. Sunscreen is like essential thesedays
556,ham,Having lunch:)you are not in online?why?,Having lunch:)you are not in online?why?
557,ham,I know that my friend already told that.,I know that my friend already told that.
558,ham,Hi Princess! Thank you for the pics. You are very pretty. How are you?,Hi Princess! Thank you for the pics. You are very pretty. How are you?
559,ham,"Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. ","Aiyo... U always c our ex one... I dunno abt mei, she haven reply... First time u reply so fast... Y so lucky not workin huh, got bao by ur sugardad ah...gee.. "
560,ham,Hi msg me:)i'm in office..,Hi msg me:)i'm in office..
561,ham,Thanx 4 e brownie it's v nice...,Thanx 4 e brownie it's v nice...
562,ham,Geeeee ... I love you so much I can barely stand it,Geeeee ... I love you so much I can barely stand it
563,spam,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm ,GENT! We are trying to contact you. Last weekends draw shows that you won a å£1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm 
564,ham,"Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ...","Fuck babe ... I miss you already, you know ? Can't you let me send you some money towards your net ? I need you ... I want you ... I crave you ..."
565,ham,"Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?","Ill call u 2mrw at ninish, with my address that icky American freek wont stop callin me 2 bad Jen k eh?"
566,ham,Oooh bed ridden ey? What are YOU thinking of?,Oooh bed ridden ey? What are YOU thinking of?
567,ham,"So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already","So anyways, you can just go to your gym or whatever, my love *smiles* I hope your ok and having a good day babe ... I miss you so much already"
568,ham,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!,Love it! Daddy will make you scream with pleasure! I am going to slap your ass with my dick!
569,ham,WOT U WANNA DO THEN MISSY?,WOT U WANNA DO THEN MISSY?
570,ham,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...,Yar lor wait 4 my mum 2 finish sch then have lunch lor... I whole morning stay at home clean my room now my room quite clean... Hee...
571,ham,Do you know where my lab goggles went,Do you know where my lab goggles went
572,ham,Can you open the door?,Can you open the door?
573,ham,Waiting for your call.,Waiting for your call.
574,ham,Nope i waiting in sch 4 daddy... ,Nope i waiting in sch 4 daddy... 
575,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327","You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327"
576,ham,"I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same.","I'm tired of arguing with you about this week after week. Do what you want and from now on, i'll do the same."
577,ham,ÌÏ wait 4 me in sch i finish ard 5..,ÌÏ wait 4 me in sch i finish ard 5..
578,spam,"our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321.","our mobile number has won å£5000, to claim calls us back or ring the claims hot line on 09050005321."
579,ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.","Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me."
580,ham,Huh so early.. Then Ì_ having dinner outside izzit?,Huh so early.. Then Ì_ having dinner outside izzit?
581,ham,Ok anyway no need to change with what you said,Ok anyway no need to change with what you said
582,spam,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow,We tried to contact you re your reply to our offer of 750 mins 150 textand a new video phone call 08002988890 now or reply for free delivery tomorrow
583,ham,my ex-wife was not able to have kids. Do you want kids one day?,my ex-wife was not able to have kids. Do you want kids one day?
584,ham,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream,So how's scotland. Hope you are not over showing your JJC tendencies. Take care. Live the dream
585,ham,Tell them u have a headache and just want to use 1 hour of sick time.,Tell them u have a headache and just want to use 1 hour of sick time.
586,ham,"I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... ","I dun thk i'll quit yet... Hmmm, can go jazz ? Yogasana oso can... We can go meet em after our lessons den... "
587,ham,"\Pete can you please ring meive hardly gotany credit\""""","\Pete can you please ring meive hardly gotany credit\"""""
588,ham,Ya srsly better than yi tho,Ya srsly better than yi tho
589,ham,"I'm in a meeting, call me later at","I'm in a meeting, call me later at"
590,spam,"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk","For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk"
591,spam,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo,You have been specially selected to receive a 2000 pound award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo
592,spam,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04,PRIVATE! Your 2003 Account Statement for 07753741225 shows 800 un-redeemed S. I. M. points. Call 08715203677 Identifier Code: 42478 Expires 24/10/04
593,ham,You still at grand prix?,You still at grand prix?
594,ham,"I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz...","I met you as a stranger and choose you as my friend. As long as the world stands, our friendship never ends. Lets be Friends forever!!! Gud nitz..."
595,ham,I am great! How are you?,I am great! How are you?
596,ham,Gud mrng dear have a nice day,Gud mrng dear have a nice day
597,spam,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!,You have an important customer service announcement. Call FREEPHONE 0800 542 0825 now!
598,ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
599,ham,I'm going out to buy mum's present ar.,I'm going out to buy mum's present ar.
600,ham,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D
601,ham,If u sending her home first it's ok lor. I'm not ready yet.,If u sending her home first it's ok lor. I'm not ready yet.
602,ham,Speaking of does he have any cash yet?,Speaking of does he have any cash yet?
603,ham,Be happy there. I will come after noon,Be happy there. I will come after noon
604,ham,Meet after lunch la...,Meet after lunch la...
605,ham,TaKe CaRE n gET WeLL sOOn,TaKe CaRE n gET WeLL sOOn
606,spam,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 
607,ham,what I meant to say is cant wait to see u again getting bored of this bridgwater banter,what I meant to say is cant wait to see u again getting bored of this bridgwater banter
608,ham,Neva mind it's ok..,Neva mind it's ok..
609,ham,"It's fine, imma get a drink or somethin. Want me to come find you?","It's fine, imma get a drink or somethin. Want me to come find you?"
610,spam,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222
611,ham,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me,Its a valentine game. . . Send dis msg to all ur friends. .. If 5 answers r d same then someone really loves u. Ques- which colour suits me the best?rply me
612,ham,I have many dependents,I have many dependents
613,ham,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C,THANX4 TODAY CER IT WAS NICE 2 CATCH UP BUT WE AVE 2 FIND MORE TIME MORE OFTEN OH WELL TAKE CARE C U SOON.C
614,ham,I called and said all to him:)then he have to choose this future.,I called and said all to him:)then he have to choose this future.
615,ham,"\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st...""","\Happy valentines day\"" I know its early but i have hundreds of handsomes and beauties to wish. So i thought to finish off aunties and uncles 1st..."""
616,ham,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.,He like not v shock leh. Cos telling shuhui is like telling leona also. Like dat almost all know liao. He got ask me abt ur reaction lor.
617,ham,For my family happiness..,For my family happiness..
618,ham,I come n pick Ì_ up... Come out immediately aft ur lesson...,I come n pick Ì_ up... Come out immediately aft ur lesson...
619,ham,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.,Let there be snow. Let there be snow. This kind of weather brings ppl together so friendships can grow.
620,ham,Dear we got  &lt;#&gt;  dollars hi hi,Dear we got  &lt;#&gt;  dollars hi hi
621,ham,Good words.... But words may leave u in dismay many times.,Good words.... But words may leave u in dismay many times.
622,ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED
623,ham,"sorry, no, have got few things to do. may be in pub later.","sorry, no, have got few things to do. may be in pub later."
624,ham,"Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash","Nah it's straight, if you can just bring bud or drinks or something that's actually a little more useful than straight cash"
625,ham,"Haha good to hear, I'm officially paid and on the market for an 8th","Haha good to hear, I'm officially paid and on the market for an 8th"
626,ham,How many licks does it take to get to the center of a tootsie pop?,How many licks does it take to get to the center of a tootsie pop?
627,ham,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.,Yup i thk they r e teacher said that will make my face look longer. Darren ask me not 2 cut too short.
628,spam,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693,New TEXTBUDDY Chat 2 horny guys in ur area 4 just 25p Free 2 receive Search postcode or at gaytextbuddy.com. TXT ONE name to 89693
629,spam,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.,Todays Vodafone numbers ending with 4882 are selected to a receive a å£350 award. If your number matches call 09064019014 to receive your å£350 award.
630,ham,Please dont say like that. Hi hi hi,Please dont say like that. Hi hi hi
631,ham,Thank u!,Thank u!
632,ham,Oh that was a forwarded message. I thought you send that to me,Oh that was a forwarded message. I thought you send that to me
633,ham,Got it. Seventeen pounds for seven hundred ml ‰ÛÒ hope ok.,Got it. Seventeen pounds for seven hundred ml ‰ÛÒ hope ok.
634,spam,"Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062.","Dear Voucher Holder, 2 claim this weeks offer, at your PC go to http://www.e-tlp.co.uk/expressoffer Ts&Cs apply.2 stop texts txt STOP to 80062."
635,ham,Me n him so funny...,Me n him so funny...
636,ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola","Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola"
637,ham,When Ì_ login dat time... Dad fetching Ì_ home now?,When Ì_ login dat time... Dad fetching Ì_ home now?
638,ham,"What will we do in the shower, baby?","What will we do in the shower, baby?"
639,ham,I had askd u a question some hours before. Its answer,I had askd u a question some hours before. Its answer
640,ham,"Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out","Well imma definitely need to restock before thanksgiving, I'll let you know when I'm out"
641,ham," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "," said kiss, kiss, i can't do the sound effects! He is a gorgeous man isn't he! Kind of person who needs a smile to brighten his day! "
642,ham,Probably gonna swing by in a wee bit,Probably gonna swing by in a wee bit
643,ham,Ya very nice. . .be ready on thursday,Ya very nice. . .be ready on thursday
644,ham,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‰Û÷re in b‰Û÷ham. Have a jolly good rest of week,Allo! We have braved the buses and taken on the trains and triumphed. I mean we‰Û÷re in b‰Û÷ham. Have a jolly good rest of week
645,ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?","Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
646,ham,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.,Do you mind if I ask what happened? You dont have to say if it is uncomfortable.
647,spam,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203694 Identifier Code: 40533 Expires 31/10/04
648,ham,No prob. I will send to your email.,No prob. I will send to your email.
649,spam,"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm","You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm"
650,ham,Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :),Thats cool! Sometimes slow and gentle. Sonetimes rough and hard :)
651,ham,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?,I'm gonna say no. Sorry. I would but as normal am starting to panic about time. Sorry again! Are you seeing on Tuesday?
652,ham,"Wait, do you know if wesleys in town? I bet she does hella drugs!","Wait, do you know if wesleys in town? I bet she does hella drugs!"
653,ham,Fine i miss you very much.,Fine i miss you very much.
654,ham,Did u got that persons story,Did u got that persons story
655,ham,Tell them the drug dealer's getting impatient,Tell them the drug dealer's getting impatient
656,ham,"Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng","Sun cant come to earth but send luv as rays. cloud cant come to river but send luv as rain. I cant come to meet U, but can send my care as msg to U. Gud evng"
657,ham,You will be in the place of that man,You will be in the place of that man
658,ham,"It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com","It doesnt make sense to take it there unless its free. If you need to know more, wikipedia.com"
659,spam,88800 and 89034 are premium phone services call 08718711108,88800 and 89034 are premium phone services call 08718711108
660,ham,"Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '","Under the sea, there lays a rock. In the rock, there is an envelope. In the envelope, there is a paper. On the paper, there are 3 words... '"
661,ham,Then mum's repent how?,Then mum's repent how?
662,ham,Sorry me going home first... Daddy come fetch Ì_ later...,Sorry me going home first... Daddy come fetch Ì_ later...
663,ham,Leave it de:-). Start Prepare for next:-)..,Leave it de:-). Start Prepare for next:-)..
664,ham,Yes baby! We can study all the positions of the kama sutra ;),Yes baby! We can study all the positions of the kama sutra ;)
665,ham,En chikku nange bakra msg kalstiya..then had tea/coffee?,En chikku nange bakra msg kalstiya..then had tea/coffee?
666,ham,Carlos'll be here in a minute if you still need to buy,Carlos'll be here in a minute if you still need to buy
667,ham,This pay is  &lt;DECIMAL&gt;  lakhs:),This pay is  &lt;DECIMAL&gt;  lakhs:)
668,ham,Have a good evening! Ttyl,Have a good evening! Ttyl
669,ham,Did u receive my msg?,Did u receive my msg?
670,ham,Ho ho - big belly laugh! See ya tomo,Ho ho - big belly laugh! See ya tomo
671,spam,SMS. ac sun0819 posts HELLO:\You seem cool,SMS. ac sun0819 posts HELLO:\You seem cool
672,spam,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16,Get ur 1st RINGTONE FREE NOW! Reply to this msg with TONE. Gr8 TOP 20 tones to your phone every week just å£1.50 per wk 2 opt out send STOP 08452810071 16
673,ham,"Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace.","Ditto. And you won't have to worry about me saying ANYTHING to you anymore. Like i said last night, you do whatever you want and i'll do the same. Peace."
674,ham,"I've got  &lt;#&gt; , any way I could pick up?","I've got  &lt;#&gt; , any way I could pick up?"
675,ham,"I dont knw pa, i just drink milk..","I dont knw pa, i just drink milk.."
676,ham,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? ,Maybe?! Say hi to  and find out if  got his card. Great escape or wetherspoons? 
677,ham,"Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now...","Piggy, r u awake? I bet u're still sleeping. I'm going 4 lunch now..."
678,ham,Cause I'm not freaky lol,Cause I'm not freaky lol
679,ham,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.,Missed your call cause I was yelling at scrappy. Miss u. Can't wait for u to come home. I'm so lonely today.
680,ham,What is this 'hex' place you talk of? Explain!,What is this 'hex' place you talk of? Explain!
681,ham,ÌÏ log off 4 wat. It's sdryb8i,ÌÏ log off 4 wat. It's sdryb8i
682,ham,Is xy going 4 e lunch?,Is xy going 4 e lunch?
683,spam,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+
684,ham,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.,I wanted to ask Ì_ to wait 4 me to finish lect. Cos my lect finishes in an hour anyway.
685,ham,Have you finished work yet? :),Have you finished work yet? :)
686,ham,"Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8","Every King Was Once A Crying Baby And Every Great Building Was Once A Map.. Not Imprtant Where U r TODAY, BUT Where U Wil Reach TOMORW. Gud ni8"
687,ham,"Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday.","Dear,Me at cherthala.in case u r coming cochin pls call bfore u start.i shall also reach accordingly.or tell me which day u r coming.tmorow i am engaged ans its holiday."
688,ham,Thanks love. But am i doing torch or bold.,Thanks love. But am i doing torch or bold.
689,spam,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.
690,ham,Was the farm open?,Was the farm open?
691,ham,"Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx.","Sorry to trouble u again. Can buy 4d for my dad again? 1405, 1680, 1843. All 2 big 1 small, sat n sun. Thanx."
692,ham,"My sister in law, hope you are having a great month. Just saying hey. Abiola","My sister in law, hope you are having a great month. Just saying hey. Abiola"
693,ham,Will purchase d stuff today and mail to you. Do you have a po box number?,Will purchase d stuff today and mail to you. Do you have a po box number?
694,ham,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem,Ah poop. Looks like ill prob have to send in my laptop to get fixed cuz it has a gpu problem
695,ham,Good. Good job. I like entrepreneurs,Good. Good job. I like entrepreneurs
696,ham,"Aight, you close by or still down around alex's place?","Aight, you close by or still down around alex's place?"
697,ham,meet you in corporation st outside gap ‰Û_ you can see how my mind is working!,meet you in corporation st outside gap ‰Û_ you can see how my mind is working!
698,ham,Mum ask Ì_ to buy food home...,Mum ask Ì_ to buy food home...
699,ham,K..u also dont msg or reply to his msg..,K..u also dont msg or reply to his msg..
700,ham,How much r Ì_ willing to pay?,How much r Ì_ willing to pay?
701,ham,"Sorry, I'll call later","Sorry, I'll call later"
702,ham,What is important is that you prevent dehydration by giving her enough fluids,What is important is that you prevent dehydration by giving her enough fluids
703,ham,"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!","Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!"
704,ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,True dear..i sat to pray evening and felt so.so i sms'd you in some time...
705,ham,"I don't think I can get away for a trek that long with family in town, sorry","I don't think I can get away for a trek that long with family in town, sorry"
706,ham,So when do you wanna gym harri,So when do you wanna gym harri
707,ham,Quite late lar... Ard 12 anyway i wun b drivin...,Quite late lar... Ard 12 anyway i wun b drivin...
708,spam,"To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT","To review and KEEP the fantastic Nokia N-Gage game deck with Club Nokia, go 2 www.cnupdates.com/newsletter. unsubscribe from alerts reply with the word OUT"
709,spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths+? Call MobilesDirect free on 08000938767 to update now! or2stoptxt T&Cs
710,ham,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students,Height of Confidence: All the Aeronautics professors wer calld &amp; they wer askd 2 sit in an aeroplane. Aftr they sat they wer told dat the plane ws made by their students. Dey all hurried out of d plane.. Bt only 1 didnt move... He said:\if it is made by my students
711,ham,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke,It just seems like weird timing that the night that all you and g want is for me to come smoke is the same day as when a shitstorm is attributed to me always coming over and making everyone smoke
712,spam,08714712388 between 10am-7pm Cost 10p,08714712388 between 10am-7pm Cost 10p
713,ham,"Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you.","Save yourself the stress. If the person has a dorm account, just send your account details and the money will be sent to you."
714,ham,He also knows about lunch menu only da. . I know,He also knows about lunch menu only da. . I know
